date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2001-42-42 | 2
2023-01-01 | 1
2024-01-01 | 1.23
2025
-02-29 | 3.2
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2012-01-32 | 1
2012-02-29 | 1
2013-02-29 | 1
2013-02-30 | 1
2013-03-32 | 1
2013-04-31 | 1
2013-05-32 | 1
2013-06-31 | 1
2013-07-32 | 1
2013-08-32 | 1
2013-09-31 | 1
2013-10-32 | 1
2013-11-31 | 1
2013-12-32 | 1
2013-11-30 | 10000
2009-01-02 | 1
2008-01-02 | 1
2009-01-01 | 1
2009-01-03 | 1
20123-01-03 | 1
2013-0143-03 | 1
2013-01-0312 | 1
